source_group,number_of_sources,total
AU-ANU:ADBO|AU-VU|AU-VU:EOAS|AuCNLKIN,4,42
AU-ANU:ADBO|AU-NSAL|AU-SAUS|AuCNLKIN,4,3
AU-ANL:MA|AU-ANU:ADBO|AuCNLKIN,3,20
AU-VANDS|AU-VU:EOAS,2,7
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU|AuCNLKIN,4,5
AU-ANU:OA|AU-NSAL,2,3
AU-ANU:OA|AU-VU|AU-VU:EOAS|AuCNLKIN,4,4
AU-SUSA|AuCNLKIN,2,3
AU-SAUS|AU-VU:AWR,2,11
AU-NMUS:CAN|AU-SAUS|AuCNLKIN,3,13
AU-NMUS:CAN|AU-SAUS,2,4
AU-ANU:ADBO|AU-QPRO|AuCNLKIN,3,3
AU-AIAS|AuCNLKIN|OCLC-VIAF,3,2
AU-VU:AWR|AU-YORCID|AuCNLKIN,3,9
AU-SAUS|AU-VU,2,4
AU-ANU:ADBO|AU-APAR:S|AuCNLKIN,3,24
AU-NWU|AuCNLKIN,2,32
AU-VLU|AuCNLKIN,2,6
AU-APC:WB|AU-SAUS|AuCNLKIN,3,1
AU-QU|AuCNLKIN,2,11
AU-ANU:ADBO|AU-ANU:OA|AU-VU:AWR,3,25
AU-QUT:GP|AU-YORCID|AuCNLKIN,3,7
AU-VPRO|AU-VU:EOAS|AuCNLKIN,3,32
AU-SAUS|AU-VPRO|AuCNLKIN,3,4
AU-QJCU|AU-YORCID|AuCNLKIN,3,13
AU-ANU:ADBO|AU-ANU:OA|AU-VU:EOAS|AuCNLKIN,4,80
AU-ANU:ADBO|AU-APAR|AU-VU:EOAS,3,1
AU-NNCU,1,23
AU-ANL:AD|AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AuCNLKIN,5,3
AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,1
AU-ANU:OA|AU-VU:EOAS,2,29
AU-ANL:AD|AU-VU:AWR,2,1
AU-NU|AU-YORCID|AuCNLKIN,3,2
AU-NSAL|AU-VU:AWR,2,1
AU-QGU|AU-YORCID,2,19
AU-ANU:OA|AU-SAUS,2,8
AU-ANU:ADBO|AU-SAUS|AU-VU:EOAS|AuCNLKIN,4,14
AU-NAMC|AU-NUN:DAAO|AU-SAUS|AU-VASD|AuCNLKIN,5,2
AU-QUT:GP|AuCNLKIN,2,12
AU-AIAS|AU-ANL:MA-DM|AuCNLKIN,3,1
AU-ANU:ADBO|AU-ANU:OA|AU-APAR|AuCNLKIN,4,11
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-NSAL,4,2
AU-VANDS|AU-VU:EOAS|AuCNLKIN,3,36
AU-WU|AU-YORCID,2,5
AU-ANL:AD|AU-ANU:OA|AU-SAUS|AuCNLKIN,4,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,4,17
AU-AIAS|AU-ANU:ADBO|AU-VU:AWR|AuCNLKIN,4,14
AU-ANU:ADBO|AU-ANU:OA|AU-NSAL,3,4
AU-NUWS|AuCNLKIN,2,16
AU-NAMC|AU-NUN:DAAO|AU-VU,3,1
AU-ANL:MA|AU-ANU:ADBO|AU-SAUS,3,3
AU-AIAS|AU-NUN:DAAO,2,17
AU-ANU:ADBO|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,19
AU-VSWT|AuCNLKIN,2,6
