occupation,total
Lighthouse keeper,2
Chinese Community Leader,1
Hungarian General,1
Macro-Economics,1
Capital Markets,1
Microfin,1
Platyhelminthes Eucestoda,1
Pearling lugger worker,1
Process-structure-function,1
Food Emulsions,1
Food Nanotechnology,1
Food Engineering,4
Scientific Software,1
Synaptic Circuitry,1
Visual Optics,1
Refractive Error,2
Eye Shape,1
Faith Healer,2
Art museum curator,2
Ancient DNA,4
Russian teachers,1
Polar explorer,1
Religion teachers,2
Moral Theologian,1
Conciliation,2
Arbitration Commissioner,4
Developmental Psychologist,1
Coach Builder,2
Glacial Isostatic Adjustment,1
GRACE,2
GPS,1
Ice Sheets,1
Cricket players,8
Sportscasters,5
Pseudokinases,1
Paymaster,2
Institutions,3
Legal History,1
Madness,1
Colonial,2
Stakeholder Analysis,1
And Modelling,1
Biomedical Instrumentation,3
Medical Image Processing,1
FEM models,1
3D models,1
Acting Chief Justice,1
Research Biomedical Rheologist,1
Physical activity; sedentary behaviour; behavioural epidemiology; ageing,1
Farmer Prospector,1
China Tourism,1
Tourism Forecasting,1
Human Health,1
Oceans,5
POPs,1
Trace Metals,3
Music Musicology Spain Italy Lute Vihuela Guitar Renaissance,1
artist; industrial designer,1
Coachbuilder,4
Garage Proprietor,4
Chocolate Manufacturer,1
Leptospirosis,1
Corporate director,1
Baptists,4
Photonic Devices,1
Optical Materials,1
quadruplex DNA,1
Buddhist nuns,1
Active Galactic Nuclei,2
Children's stories,4
Volcanoes,2
40Ar/39Ar,1
Impact Craters,1
Fire Research Officer,1
PI3K,1
School Pricipal's Wife,1
Livestock Photographer,1
Feedback On Writing,1
assessing L2 writing development,1
Collaborative Writing,1
Sagittarius,1
Galactic Archaeology,3
Overseers / Managers,3
Atmospheric Optics,1
Statistical Optics,1
Metrology,2
Anglican Minister's Wife,2
Factory owner,1
Oral History Project,1
City Inspector,1
superintendent of native labour in New Guinea,1
Minnesingers,1
Environmental Change,4
Professor Of Zoology,2
Cross-cultural,1
Vocational Education,1
Organisational Change,2
Certified clinical nutritionist,1
Master Builder,4
Upholsterer,1
Aboriginal lawman,2
Identity in MNCs,1
International Management,2
Upper Mantle,1
Lithosphere,1
Thermal Regime,1
Taxidermist,6
Gunsmith,2
Subduction Zones,2
Analogue Modelling,1
Multimedia Learning,1
working memory and spatial ability,1
Embodied Cognition,1
STEM and science education,1
Jillaroo,1
Business professional,1
Art forgers,1
"Boxer, sportman",3
clinical study design / protocol development; clinical trials; biostatistics,1
Missing Data Methods,1
Aboriginal Traditional Dancer,2
Disaster Risk Reduction,7
Landslides,1
3D indoor modelling and navigation,1
3D data integration (GIS/BIM),1
DBMS,1
3D GIS,1
Motor Adaptations to Spinal Pain,1
Interdisciplinary Pain Management,1
Mind-Body Therapies,1
Pain and Movement,1
Interaction of organic and inorganic,1
Metalloids,1
Aeolian Processes,1
Natural Product Chemistry,4
cabinet-maker,4
Stud-breeders,1
stud-breeders,1
Tobacco control; wind farms and health; nocebo; news media and health,1
Indigenous Health And Education,1
One Health and Neglected Tropical Diseases,1
Health promotion and Public Health,1
"Conductor, Assistant",8
Professor Of Applied Mathematics,1
Trustee Manager,1
Theatre scholar,1
Locomotive Driver,1
Ethnic Leader,2
Benedictine abbot,4
Backstage Manager,7
Magick,1
Surrealism,1
Video,1
Time Based Media,1
Witchcraft,1
Sigi,1
Animation,2
Australian Women’s Army Service officer,1
Farm Worker,2
Indigenous Populations,2
Social Emotional and Wellbeing,1
Alcohol Use,2
"Associate Professor, University of Sydney, School Leadership, Management and School Partnership",1
Patient-reported Outcomes,1
Morbidity,1
Depression- cardiac patients-the Cardiac Depression Scale- coronary heart disease,1
Composite Endpoints,1
Outcome Assessment,1
Error,1
Clinical decision making.,1
Traditional Healer,1
Index,1
Validation,1
Mortality,4
Sales Personnel,2
Maternal and Child Health,3
Podiatrists,1
Episcopalians,1
Jewish women,1
Professor of law,5
Biochemical Markers,1
Industrial Effluent Discharge,1
Oil Spill,1
Effluent Discharge,1
Fish Biomarkers,1
EROD activity,1
Chronic Exposure,1
Mental Health Service Research,1
Herpes Simplex Keratitis,1
Evidence-based Medicine,2
Pearl Diver,1
Emotional And Behavioural Disorders,1
Mobile Technology,4
Positive Behaviour Support,1
Special Education,2
Shipping Manager,3
Permaculturist,1
First Year Experience,2
Adoption Of Innovations,1
Resource Economics,1
Science writers,2
Chemist engineer,1
Adventure and adventurer,1
Chemical Processes,1
Boiling,1
Steam Explosions,1
CFD for biomedical and pharmaceutical applications,1
Disaster Recovery,1
Lateral Genetic Transfer,1
Plant Breeder,2
Employer Representative,2
Industrial Advocate,4
Schoolboys,1
Clock and watch maker,1
Motion,2
Speed,1
Frequency,1
Primary Afferents,1
Clergy--Nazi persecution,1
Anti-Nazi movement,1
Complex Traits,1
Transgenesis,1
Frozen Meat Importer,3
Applied statistics; Experimental design; Statistical practice,1
Surveyor's Assistant,1
Cricket coaches,1
Source Typing and Tracking,1
Urban Drainage,1
Full Scale Mass Flux Analysis,1
Wastewater-based Epidemiology,1
Stochastic Modeling,1
Political Theory,3
Korea,1
Aesthetic Politics,1
Visual Politics,1
Peace and Conflict Studies,2
Nonviolence,1
Dance educator ,2
B cell,1
V(D)J recombination,1
Adaptive Immunity,1
Immunological Memory,1
Primary Immunodeficiency,2
Recluse,2
Theoretical Chemist,1
Chip Formation,1
Machinability,2
Cutt,1
Microhardness Measurements,1
Phase Transformation,1
Metal Cutting,1
Aviculturalist,1
Structures,1
Timber,2
Bond,1
Lawn bowls player,1
Eresearch,2
Algorithms,3
ICT history,1
Computer Design,1
Electronic Engineer,1
Program Design,1
Computing Languages,1
Light novel author,1
Stockbreeder,3
Woodworker,3
British Parliamentarian,1
Cultural Officer,1
Board Member,1
CEO,4
Ancestral Sequence Reconstruction,1
Directed Evolution,2
Zinester,1
Musitican,1
Missionary Archbishop,1
Rhinology,1
Music Conductor,2
Joint Venture Structure,1
complex legal issues in commercial arrangements,1
Ulama,1
Broadcasting Executive,2
Government Medical Officer,2
"Professor and Director, Centre for Infectious Diseases and Microbiology",1
Aboriginal nurse,1
Neuropathologist,2
http://www.elec.uow.edu.au/apqrc/people?p=haidarama&s=ars,1
Vibraphonist,2
Music-seller,1
Human Geographer,1
Women novelists |2 lcsh,1
Sociology Of Education,2
Critical Media Studies,1
Eye Care,1
Governors general.,1
Australia. Army--Officers,1
Social Innovation,3
Organisational Psychology,2
University Student,2
Pastry chef,2
early childhood,1
Inclusive education,1
leadership,1
Defence Industries,1
Defence Research,1
Physicians.,2
Directors of botanic gardens,1
Race Cross-dresser,9
Mechanism,2
Organometallics,2
Gold Catalysis,1
Colonial governor,1
writer of children's books,1
Sociomateriality,2
equity & diversity,1
Interagency Collaboration,1
Domestic And Family Violence,1
Education And Learning,1
Cultural Competence,1
Professional Practice,3
Admirals,5
Tax consultants,1
Environmental And Occupational Physiology,1
Genomic And Ecophysiological Adaptations,1
Bacterial Biogeography,1
Polysaccharide Degradation,1
Microbial ecology of Polar oceans,1
Electromobility,1
Renewable Energy;,1
Wireless Power,1
Energy Conservation,1
Electrical Drives,1
first Speaker of the House of Representatives,1
Exploration geologist,1
Radio announcing,1
documentary film-maker,1
"Novelists, American",2
Tsunami and Flood Modelling,1
Mathematics teachers,2
Ergodic Theory,1
Mammalogist,1
Business,4
Adipokines,1
Mycophagy,1
Ectomycorrhiza,1
Plant-fungal-animal Interactions,1
Science Communic,1
Independent missionary,1
Motorcycle Rider,2
Speedway Promoter,1
Government inquiries,2
Medical Social Worker,2
Statutory Office Holder,1
Applied E,1
Economic Evaluations,1
Health Behavior,2
Health Inequality,5
Head Chief,1
President of the Republic of Nauru,1
hydrology and water resources management,1
extreme event (flood,1
Decision Making Under Uncertainty,1
causes and impacts of climate variability and change,1
bushfire) risk,1
wheat-breeder,2
River Restoration,2
River Management,2
Fluvial Geomorphology,3
Store Manager,1
Motion picture director,6
Theatrical director,1
"Member for Marrickville, New South Wales",1
landscape conservation; cumulative impacts; mining impacts; ecology; road ecology; predators; surfac,1
Crocodile Hunter,2
Research Station Manager,1
Buffalo Hunter,3
Mango Farmer,1
Local Capacity,1
Small Island,1
Participatory Approaches,1
Academics - History and Philosophy of Science,3
Seafood,2
omega-3,1
Couture Atelier Proprietor,1
Legislators--United States,2
Library an Information Science,1
Bibliometric Studies,1
Cre Recombinase,1
Feeding Behaviour,2
Stress-induced Food Intake,1
Ghrelin Receptor,1
Mood,2
Ghrelin,1
DREADDs,1
Behavioural Neuroscience,2
Blood Glucose,1
GHSR,1
Appetite,3
Food Reward,1
neural control of energy homeostasis,1
Body Weight Control,1
Religious educator,1
Customer support officer,1
Microfracture,1
Osteocyte,1
Nematodes,2
Farm Animals,1
Tourism Education,1
Marine Tourism,1
Scuba Diving,1
Theatre Educator,2
Celebrity homemaker,1
Law teachers.,1
Organisational Politics,1
Arabs,1
Authorship,2
Saudi Arabia,1
Homoeopath,2
Gynaecologic Cancer,1
Drug Access,1
Medical Oncology,3
Equal Opportunity practitioner,1
Moulder,1
Tradesman,2
Stock Saleyard Owner,1
Single Items,1
Segmentation,3
Partial Least Squares,1
PLS,1
Thermal Energy Storage,1
Phase Change Materials,2
Low Energy Heating,1
Low Energy Cooling,1
Low Energy Buildings,1
PCMs,1
Inflammatory Bowel Disease (IBD),1
Primitive Methodist minister,1
Visual Culture,2
culture use; cultural resources; reflective use of culture; transition into universtiy;,1
Localizer,2
Protrein Engineering,1
Aerosol Science,1
Exposure Assessment,3
Nucleation,2
Black Carbon,1
Soil Health,1
Hydrogen Pyrolysis,1
Disease Suppression,1
MIR,1
Pyrogenic Carbon,1
Bone Defects,1
Scaffold,1
In Vivo,2
In Vitro,3
Diabetic Cardiomyopathy,1
peanut-farmer,1
Insulin Resistance,5
Multidisciplinary Oceanography,1
Indigenous support worker,1
First Year Undergraduate Students,1
Assessment For Learning,1
Music Theory,1
Microsound,1
Sonic Art,1
Music Aesthetics,1
Composition,2
Computer Music,2
Memetics,1
Navy Surgeon,1
Metal Homeostasis,2
Senescence,3
Volcanology,4
Waste And Energy Efficiency,1
Motion picture directors and producers.,1
Merozoite,1
Glucose-6-phosphate dehydrogenase,1
Intramuscular Fat,1
Genome Assembly,1
Rumen,1
Gastrointestinal Tract,2
FAANG,1
Cattle,3
Methane,3
Gaol Escapee,1
Bush Nurse,1
Natural Selection,1
actor.,2
House Painter,5
Biomedical Signal Processing,3
Mobile Communication,1
time-frequency signal analysis and processing,1
Unconventional Natural Gas Extraction,1
Hydraulic Fracturing Design,1
Technical Educator,1
Glaciologists,4
Bartender,1
friend of Aboriginals,1
Land Valuer,2
Food Writer,1
Intellectuals,2
anti-Catholic journalist,1
Refrigeration Mechanic,2
Neurogenetics - Behavioural and Psychiatric Genetics - Resilience,1
Local officials and employees,1
Social Emotional Behaviour,1
Education Consultancy,1
cyber safety in higher education,1
Third Culture Kids,1
Values Education,2
Competency-based assessment; preceptorship; aged care; dietitian,1
"Musician, Bassoonist",7
Creativity and Cultural Production; Journalism; Journalism Education; Future of Journalism; New Medi,1
Curator Of Botanic Gardens,1
Marine Law And Policy,1
"Musician, Harpsichordist",5
Personnel director,1
Senior Law Man,1
Medicinal Chemistry and molecular modelling,1
Mediator,4
Harmful Algal Bloom,1
Bioassays,1
Ichtyotoxicity,1
Cellular Biology,1
NTD,1
Executive producer,1
Visual artist,4
Protein Phosphorylation,2
Neurochemistry,1
Tyrosine Hydroxylase,1
Stress Biology,1
Catecholamine,1
Planners,2
Investors,7
Wardrobe Maintenance,2
Numismatists,8
Coordination Chemistry,4
Spin Crossover,1
Macrocycle,1
Crystal Structure,2
Kosin University,1
Computer-aided design of control systems,1
identification and optimization (including nature-inspired algorithms),1
Development and analysis of new control structures and algorithms including conventional control,1
mobile rob.),1
Theory and applications of soft computing,1
Embedded,1
Fu,1
Drives,1
Applications to mechatronics systems (incl. automotive,1
power pl.,1
Catalogers,1
Women adventurers,1
Architectural historian,2
Member of Upper House,1
Neurosurgeons,1
seaweed; algae; forestry; polysaccharide; carrageenan; fucan; editing,1
"Member for Flinders, New South Wales",1
Familial Studies,1
Public Service Commissioner,3
Mineral collector,1
Evidence Based Medicine,4
Carer,6
Squash player,1
Crown Solicitor,3
Landscape Painter,5
Bodybuilder,1
Woman athlete,2
Autontibodies,1
Chemical Communication,1
Atomic And Molecular Collisions,1
Banks and banking,3
African American cartoonists,1
Rachorse Owner,1
Aboriginal rights activist,3
photographer; engraver; painter,1
Vibrations,1
Order Tracking,1
Machine Diagnostics,1
Cyclostationarity,1
Protein Folding And Misfolding,1
Proteostasis,1
Chaperone Proteins,1
Heat Shock Proteins,1
Heat Shock Response,1
Murder,1
Homophobia,1
Cold Cases,1
Hate Crime,1
Spatial Computing,1
Emergency Response,1
Location Privacy,1
Geosensor Networks,1
Egg Marketer,1
Piansti,1
Caldera,1
Seismic Reflection Survey,1
Submarine Volcanism,1
Crustal evolution of the Earth,1
Antique Dealer,3
Constitutional Reformer,1
depicted.,1
"Postmistress, telegraphist",1
Condensed Matter Physics,3
Nano-bio Interactions,2
Materials Modelling And Simulation,1
Protein Structure And Dynamics,2
Ore Deposits,4
Behavioral Neuroscience,3
Neuropsychopharmacology,2
Neurotransmitters,3
Neuroinflammation,7
Railway Administrator,5
Confocal Microscopy,3
Time-lapse Imaging,1
Armed forces--Officers,3
Operator Theory,1
Approximatio,1
Mathematical Analysis,1
Mathematical Inequalities,1
Functional Analysis,3
Works Foreman,1
Oceanography & Climate Science,1
Amazonia,2
Palaeoclimatology,2
Subtropics,2
Tropics,3
Andes,1
Coal Mine Owner,2
Cor Anglaisist,8
Municipal Police Superintendent,1
Sports Doctor,1
Textile technologist,4
Infant Twin,4
Archeologists,3
Moral Education,1
History Education,1
Education For Citizenship,1
Religion And Education,1
Global Learning,1
Relationship Marketing,2
Customer Engagement,1
Customer Relationship Management,1
Thin Film Coatings,3
Advanced Manufacturing,2
Prisoner of war,3
Cornet players,5
Carcinologist,1
Romantic Novelist,1
Pacific Islander community leader,1
Film Company Manager,2
Virus Entry,1
Viral Receptor,1
Antibodies,3
Adverse Event,1
Arts Marketing,1
Cultural Tourism,3
Cultural Value,1
Visual Arts,1
Arts Management,1
Epithelial-mesenchymal Transition,1
Chemotherapy Resistance,1
Mesenchymal-epithelial Transition,1
Training Response,1
Athletic Performance,1
Student Mental Health,1
Cerebral Amyloid Angiopathy,1
Arteriovenous Malformation,1
Intracerebral Haemorrhage,2
Microbleed,1
Cavernous Malformation,1
Cohort Study,3
East Asian Security,1
War and the Non-Human Sphere,1
Strategic Theory,1
Armed Non-State Actors,1
Selective Reproduction,1
Health Law,2
T cell,1
Allergen Immunotherapy,2
Destination Marketing,2
Forest Genetics,1
Pinus,1
Araucaria,1
Teacher Resilience,1
International Lawyer,1
music-hall singer; lyricist,1
Rainforest Tourism,1
Crisis Management,1
World Heritage Areas,1
Archaea & Antarctic aquatic microbial ecology,1
Geographic Information Retrieval,1
CyberGIS,1
Spatial Infrastructures,1
Cosmetics Manufacturer,1
Mangrove,2
Vulnerability Assessment,2
Salt Marsh,1
Storeworker,1
"Member for Maribyrnong, Victoria",7
Business Consultant,1
forward osmosis,1
wastewater treatment,1
Poverty Mapping,1
Environmental Sciences,7
HPLC,4
Chiral Catalysis,1
Asymmetric Synthesis,1
Genetic Diseases,1
Protein Science,1
Endocrine Disrupting Chemicals,1
Testis,2
Design Coordinator,1
Executives.,1
Medicinal Organometallic Chemistry,1
Bioorganometallic Chemistry,1
Photodynamic Therapy,1
Inorganic Chemical Biology,1
Bioinorganic Chemistry,1
Peptide Nucleic Acid,1
Medicinal Inorganic Chemistry,1
Respiratory Health,2
Systems Immunology,1
Language teacher,1
Project officer,2
Lysine,1
Quality Of Care,3
Engagement of people with dementia,1
Quantitative Methodologies,1
Workforce Training And Development,1
Dementia In Aged Care,1
Relationships In Aged Care,1
Telepresence & social companion robots,1
ageing & dementia,1
Bogus Clergyman,1
Revolutionaries,6
Girondists,1
Racing Commission Agent,1
Information Technology Professional,1
Senior Lecturer in the College of Arts at Victoria University.,1
Brigidine nun,2
pioneer Methodist,1
representations of china in Japan,1
Literary Studies,1
Boarding House Worker,1
Vice-Presidents,2
Business enterprises,1
Transportation Modelling,1
Managers and executives,5
Miss South Australia,1
Aboriginal guide,7
Solar Thermal Energy Technology,1
Computational Biomechanical Engineering,1
Living cells/tissue simulations,1
Scale analysis for the transient flow,1
Natural convection heat transfer in buildings and other confined geometries,1
Coordinator at Burrunju Aboriginal Art Gallery,1
Ethnography,12
Decolonising Methodologies,1
Map Draughtsman And Publisher,1
Americanists,1
Recorder-player,1
"Engineers, aeronautical",1
Muscle Architecture: Functional Anatomy,1
Motor Control,7
Insurance Broker,6
Inclusive Education,9
Transnational / International Education,1
ESL / NESB,1
Intercultural Understanding,2
Differentiation,2
Dryland Science,1
Bullocky,2
Heritage Campaigner,1
social medicine; health literacy; psychometric methods; item response theory,1
Iron Merchant,2
Accounting; accountability; not-for-profit,1
Clerk Of Parliament,1
make-up artist,1
Rig Designer,4
libraries,1
information behaviour,1
ICT4D,1
community development,1
Semioticians,2
AAC,1
Chronique Fatigue Syndrome,1
Store Operated Calcium Channels,1
TRP channels,1
Leukemogenesis,1
NK cell cytotoxicity,1
Calcium homeostasis,1
Congressman,1
"Authors, German--19th century",1
Explorers--Australia,1
Forestry consultant,2
Group A streptococcus,1
Infectious Disease Epidemiology,2
"Member for Casey, Victoria",6
General Labourer,1
Health Reformer,1
Violoncellist,1
Bussinesmen,2
Learning And Memory,1
Microglia,2
Adult Neurogenesis,1
Patriarchs and patriarchate,2
Aquatic Microbial Ecology,1
Light Sensitivity,1
Classical scholar,3
"pastor, activist, leader",1
Tree Physiology,2
Fo,1
Extreme Climate,1
Plant Water Use,2
"Member for Wagga Wagga, New South Wales",1
"Member for Farrer, New South Wales",4
Sporting Commentator,3
RKIP,1
Ki-RAS,1
Metastasis Suppressors,1
MAPK,2
PEBP1,1
Primavera,1
Ant Colony,1
Construction Dynamic Management,1
Sustainable Construction Modeling,1
Swarm Technique,1
Multi Agent System,1
Ant Colony Optimisation,1
Complex System Models,1
Honey Bee,1
Neurobiology,6
Consultant Lawyer,1
Early childhood educators,2
Crop Physiology,4
Cropping Systems,1
Drought Adaptation,1
Physiological Pre-breeding,1
Myers-Briggs Type Indicator practitioner,1
Adult education teachers,1
Chaos theory,1
Cloud Computing and Virtualization,1
Computational physics,1
High Energy Physics,1
Software development,1
Distributed computing,1
Environmental Conditions,1
Information Experience,2
Petrol importers,3
director-general of the Australian Security Intelligence Organization,1
Hermaphroditism,1
Labridae,1
Stock Assessment,3
Demersal,1
Stock Structure,1
Growth,2
Singing Teacher,2
Choral Conductor,1
Mountains,2
Medieval Women,1
medieval European history,1
Monasticism,1
Cistercians,1
Medieval History,1
Police Prosecutor,1
Cultural advisor,2
Royal Tennis player,1
Television weathercasters,1
Clowns,1
Hotel Proprietor,1
Political Historian,1
Big Game Hunter,1
Women art historians,2
Entrepreneurs,1
Flight,1
Dynamic Systems Theory,2
Industrial Psychologist,1
Kafirin,1
LSCFB,1
Ion-exchange Chromatography,1
Protein Extraction,1
Hydrophobic Protein,1
IEX,1
Liquid-solid Circulating Fluidized Bed,1
Jewellery Maker,1
Property,1
Valuation,1
"Poets, Austrian",1
"Governor of Victoria, Australia",1
Governor-General of Australia,1
Sometime Actor,1
Professional Boxer,2
Nanostructures,2
System Dynamics And Control,1
Robotic Drug Delivery Systems,1
Soft Robotics,1
Vulnerable Road Users,1
Visual Attention,1
Rail Level Crossings,1
Human Factors,7
International Tax,1
Revenue Law,1
Solid State Detectors,1
water-board official,1
Sound,2
Metal Organic Framework,1
Nanomaterial,2
Mobile Tracking,1
Material Point Method,1
Large Strain Simulation,1
Run-out,1
Fall Cone Test,1
Collector Of Antiques,2
administrator of Norfolk Island,1
Liver Fibrosis,1
DPP4,1
type 2 diabetes,6
FAP,1
DPP9,1
Liver Cancer,3
DPP8,1
Fatty Liver,1
"Elders (Indigenous leaders), Maori",1
Women clergy,2
Recreational organisers,1
Chief executive officers.,1
Violin-maker,1
Business teachers,1
Flying Doctor,5
Fiction author,1
air force matron-in-chief,3
Dance teachers,7
Tailer,1
catalysis & catalytic materials; electrochemestry; gene delivery; energy conservation; energy storage; photocatalysts,1
Empresses,2
Music competition adjudicator,1
human dimensions of natural resources,1
Conservation Psychology,1
Soil Conservationist,1
Education And Devel,1
Language Education,1
"Archbishop, Hanoi",1
Software Testing; Services and Cloud Computing; End-User Software Engineering for Information System,1
"Member for Prospect, New South Wales",3
Theatre producer,4
"Designer, Supervisor",1
Writing teacher,1
Professional Capacity Building,1
Mentoring,3
Emotional Health and Well-Being,1
Philosophical Inquiry,1
Quality Teacher,1
Teacher Efficacy,2
Australian rules football player,1
actor's union president,1
masculinity,1
cultural studies,1
girlhood,1
post-structuralism,1
discourse analysis,1
public pedagogies,1
popular culture,1
gender,1
Sara Ahmed,1
semiotic analysis,1
subjectivity,1
place,1
collective biography,1
cinema,1
femininity,1
film,1
Butler,1
Sensory Analysis,1
Wine Fermentation,1
Yeast Ecology,1
Pioneer Industrial Psychologist,1
Information Theory,5
Network Coding,2
Mapmaker,1
Cartels,1
Supermarkets,1
Sanctions,1
Leniency,1
Competition Law,3
Petrol,1
Enforcement,2
poly(I:C),1
Schistosomiasis,2
Worms,1
Emerging Technologies,2
Social Implications,1
Uberveillance,1
Laws,1
Ballroom Dancer,1
Micro-meteorology,1
Eddy Covariance,1
Professor Of Applied Psychology,1
Safety Officer,4
nanotechnology,1
materials engineering,1
organic chemistry,1
Railway Contactor,1
Networks Thermodynamics,1
Metabolic Flux Analysis,1
Offshore,2
Novel Formulations,1
Powder Technology,2
Theatre Producer,6
Case Worker,1
Orchestra Leader,1
Cytoskeleton,4
Imaging Informatics,2
Microscopy.,1
Cell Migration,4
Lunar module pilot,1
Membrane,6
Catalytic Oxidation,1
"Headmaster of The King's School, Parramatta (Sydney)",1
Historical novelist,1
Professor and Dean at the University of Canberra,1
Metal Biology,1
X-ray Microspectroscopy,1
Cognitive Processes In Organizations,1
Workforce Diversity,2
Organizational Justice,1
Anbazhagan P,1
Eye Diseases,1
Uveitis,1
Public International Law,1
International Investment Law,1
International Economic Law,1
International Dispute Settlement,1
Literary Editor,2
Boarding School Housemaster,1
Electronic technicians,1
Monk,1
Aboriginal buckjumper,1
founder of Stotts Business Colleges,1
Film remakes; Film theory; Film Criticism; Media Seriality,1
Scientific Instrument Maker,1
Lecturer in Forest Science,1
Lecturer In Forest Science,1
Higher Order Spectra,1
Helicobacter Pylori Infection,1
Gastric Cancer,1
Musical conductor,1
Forensic Scientist,2
Forensic pathologist,2
Speedway Motorcycle Rider,3
Music editors,1
CONSERVATION ECOLOGY,1
POPULATION GENETICS,1
LANDSCAPE ECOLOGY,1
BEHAVIOURAL AND EVOLUTIONARY ECOLOGY,1
"film maker, director",1
Marketing Officer,3
Agricultural Adviser,1
Air pilots--India,1
Book artists,1
Biological Psychiatry,1
Imaging Neuroscience,1
Impulsive-compulsive Disorders,1
Demand,1
Ambulance,3
Health Service Use,1
Emergency Hospital Care,1
Care Models,1
Geriatrics,3
Kindergarten,1
Phonics,1
Preschool,1
Catholic clergyman,2
Multiparadigmatic Research Design,1
Transformative Educational Research,1
smart grids and microgrids,1
Application of machine learning methods and identification techniques in power systems,1
load modelling and demand response,1
Sustainable energy systems,1
stability and control,1
Future grids,1
Power system dynamics,1
Brickmaker,2
Ehtics,1
Social historian,1
Palynology,3
Buddhist monks,1
Ballerinas,2
Marine Collector,1
Optic Neuritis,1
Functional Connectivity,3
Prototype/Willingness Model,1
Driver Training,1
Social Norms,3
Young Driver,1
Parents,2
Driver Education,1
Novice Driver,1
Teenagers,1
Goals for Driver Education,1
Risk-taking,1
Attitudes,3
Benefactress,2
Christian Socialist clergyman,1
Commissariat Officer,1
Racing Motorist,5
Motor Racing Driver,1
Policy Studies,1
Educational writer,2
Legionella,2
Mathematical Models,1
Infectious Diseases Modelling,1
Decision Tools,1
flock-master,2
Dockyard Director,2
Speedway Motor Cyclist,1
Voluntary Aid Detachment (VAD) worker,3
Ballet Producer,2
Perimetry,1
Saccades,1
Frequency-doubling,1
Superhydrophobic Nanocoating,1
Mesoporous Silica,2
Hierarchical Structures,1
drug/gene delivery,1
Porous Carbon,3
Inorganic-organic Hybrid Composites,1
Country musician,4
"Publisher, printer",1
"musician, performer",1
College Lecturer,1
Stomatal Behaviour,1
Temperature Acclimation,1
Water Use Efficiency,2
Conchologists,1
Television administrator,1
Radio administrator,1
Newsreader,2
Scale Insects,1
Coccoidea,1
Parthenogegesis,1
Coccidae,1
"Member for Hawker, South Australia",3
"Member for Northern Melbourne, Victoria",1
Elaeocarpaceae,1
Ericaceae,1
Nepent,1
Virus-like Particle,1
Vaccine Engineering,1
Baculovirus,1
Protein Technology,1
African American women singers,1
Sea Ice Biogeochemistry,1
N2O,1
Antarctic / Southern Ocean,1
CH4,1
climate gases CO2,1
Isopoda,2
Blood Parasites,1
Aquatic Health,1
Rockclimber,1
Bioacoustics,3
Chief of Naval Staff,1
Coastal Geomorphology,3
Coastal Geology,1
protein corona,2
dendritic polymers,1
nano-biophysics,2
nanotoxicology,1
environmental remediation,1
Mining Industries Entrepreneur,1
Quality and Safety in Healthcare,1
Student Union Administrator,1
Australian Carers,1
NDIS,1
Process worker,1
Kidney Development,2
Epithelial Branching,1
Patterning,1
Tobacco Merchant,4
Lattice Models,1
Enumerative Combinatorics,1
diffusion MRI,4
White Matter,3
Tractography,5
Senior Professsor,1
Scientific instrument curator,1
Sheet-metal work,1
Evo-devo,1
Teeth,1
Evolutionary Morphology,1
Academic - Geography,2
Medicinal plants; Australian; Aboriginal traditional medicine,1
Judaism,1
Christianity and other religions--Judaism,1
intestinal development; colon cancer; zebrafish; gene expression; splicing;,1
Cryptography,4
Translation Research,1
Expanded Scope Of Practice,1
Pharmaceutical,1
People with disabilities--Services for,2
Marketing Communication Strategies,1
Ambush Marketing,1
Boxing Referee,1
Goldsmiths,1
Singer And Yodeler,1
Bond Trader,1
Serpentinites,1
Chlorine,1
Noble Gas,1
Mantle,2
Halogens,1
Sound Technician,2
Empowerment,1
Stoichiometry,1
Phosphorus,8
Jesuit,1
Dog handler,2
Tropical Forestry,1
Land-Use,1
Environment and Natural Resource Management,1
lab on a chip,2
Micro Magnetofluidics,1
Micro Optofluidics,1
Cognitive Reserve,1
"Engineers, gas",2
Combusion,1
CLC,1
Ca Looping,1
Incineration,1
FBC,1
Material Modelling,1
Metal Forming,1
Earth Scientist,1
Country Entrepreneur,1
Project Officer,6
genetics of congenital heart disease,1
Paediatric Cardiac Surgery,1
Congenital Heart Disease,5
Outcomes,1
Preference Based Instruments,1
Health Technology Assessment,5
Informal Caregiving,1
Economic Evaluation in the hospice & Palliative care setting,1
Palliative & Supportive Care,1
Human Performance,1
Performance Variability,1
Sociotechnical Systems,1
Nuclear Medicine,2
Bone Densitometry,1
obesity prevention.,1
Food And Nutrition Policy,1
Opto-acoustics,1
Live Cell Imaging,1
Optical Microscopy,1
Employment Counsellor,1
Education Manager,1
Holocaust survivors,1
Business Improvement Specialist,1
Whaling masters,2
Malaria Epidemiology Immunology,1
Plant nutrition; Water stress; Salinity stress; Irrigation management; Crop physiology; Heat stress,1
Community-based Information Management Practices,1
Information Seeking Behaviour,1
Records Management,2
Archives Management,1
Information Behaviour,4
Draw-and-write Techique,1
Leisure Management,1
Poster artist,1
Artistic director,6
Professor of astronomy,1
real-estate agent,5
Sexually Transmitted Infections,5
HIV testing,1
Psychiatric Nurse,2
a founder of Alcoholics Anonymous in New South Wales,1
Micro/Optofluidics,1
Dielectrophoresis,1
Biosensor,3
Particle Manipulatio,1
Algal Biofuels,1
Vermicomposting,1
